m,re_key,qu_1,m_1,unit_1,qu_2,m_2,unit_2,lookups_item_key,l_p,s,r,url,finalMap,
<_sre.SRE_Match object at 0x000000000F852410>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,4 tbsp water,4 tbsp water,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
<_sre.SRE_Match object at 0x000000000F852508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 tbsp olive oil,1 tbsp olive oil,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,NN NN,salt  pepper,salt  pepper,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,NNS,toppings,toppings,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,JJ NN IN NN NNS,small handful of cherry tomatoes,small handful of cherry tomatoes,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
<_sre.SRE_Match object at 0x000000000F852508>,n_st,CD ,NNS ,CD NNS ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NNS NNS,8 kalamata olives,8 kalamata olives,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NNS,small handful of pumpkin seeds,small handful of pumpkin seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,JJ NN IN JJR NNS,small handful of sunflower seeds,small handful of sunflower seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,,None,None,None,None,None,None,,JJ NN IN JJ NN NNS,small handful of shelled hemp seeds,small handful of shelled hemp seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,"[{'itemprop': 'recipeIngredient'}, {}]",
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN,1 carrot,1 carrot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small courgette,1 small courgette,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small beetroot,1 small beetroot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD VBD RB CD NN,150g cooked quinoa 5 oz,150g cooked quinoa 5 oz,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,VBG,dressing,dressing,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 ripe avocado,1 ripe avocado,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 garlic clove,1 garlic clove,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",NN IN CD NN,juice of 1.5 lemon,juice of 1.5 lemon,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NNS,8 large basil leaves,8 large basil leaves,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tbsp cider vinegar,1 tbsp cider vinegar,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,4 tbsp water,4 tbsp water,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 tbsp olive oil,1 tbsp olive oil,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NN NN,salt  pepper,salt  pepper,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NNS,toppings,toppings,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN NN NNS,small handful of cherry tomatoes,small handful of cherry tomatoes,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN,1 carrot,1 carrot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small courgette,1 small courgette,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small beetroot,1 small beetroot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD VBD RB CD NN,150g cooked quinoa 5 oz,150g cooked quinoa 5 oz,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,VBG,dressing,dressing,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 ripe avocado,1 ripe avocado,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 garlic clove,1 garlic clove,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",NN IN CD NN,juice of 1.5 lemon,juice of 1.5 lemon,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NNS,8 large basil leaves,8 large basil leaves,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tbsp cider vinegar,1 tbsp cider vinegar,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,4 tbsp water,4 tbsp water,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 tbsp olive oil,1 tbsp olive oil,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NN NN,salt  pepper,salt  pepper,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NNS,toppings,toppings,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN NN NNS,small handful of cherry tomatoes,small handful of cherry tomatoes,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD NN,1 carrot,1 carrot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small courgette,1 small courgette,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 small beetroot,1 small beetroot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD VBD RB CD NN,150g cooked quinoa 5 oz,150g cooked quinoa 5 oz,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,VBG,dressing,dressing,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 ripe avocado,1 ripe avocado,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,1 garlic clove,1 garlic clove,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",NN IN CD NN,juice of 1.5 lemon,juice of 1.5 lemon,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NNS,8 large basil leaves,8 large basil leaves,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN NN,1 tbsp cider vinegar,1 tbsp cider vinegar,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1318>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ NN,4 tbsp water,4 tbsp water,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000F8B1508>,n_st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?){1,2}(?P<m_1>NNS? ?)*){1,1}(?P<item>((JJ ?)*(VB(D|N|G|P)? ?)*)*(NNS? ?){1,3}){1,1}",CD JJ JJ NN,1 tbsp olive oil,1 tbsp olive oil,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NN NN,salt  pepper,salt  pepper,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,NNS,toppings,toppings,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN NN NNS,small handful of cherry tomatoes,small handful of cherry tomatoes,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B8A1770>,st,CD ,,CD NNS,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)+?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NNS NNS,8 kalamata olives,8 kalamata olives,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN JJ NNS,small handful of pumpkin seeds,small handful of pumpkin seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN JJR NNS,small handful of sunflower seeds,small handful of sunflower seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,JJ NN IN JJ NN NNS,small handful of shelled hemp seeds,small handful of shelled hemp seeds,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97CBF8>,st,,,CD,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD NN,1 carrot,1 carrot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN,1 small courgette,1 small courgette,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97CBF8>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN,1 small beetroot,1 small beetroot,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,,,CD,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD VBD RB CD NN,150g cooked quinoa 5 oz,150g cooked quinoa 5 oz,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
,,None,None,None,None,None,None,,VBG,dressing,dressing,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN,1 ripe avocado,1 ripe avocado,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97CBF8>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN,1 garlic clove,1 garlic clove,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,,,CD,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",NN IN CD NN,juice of 1.5 lemon,juice of 1.5 lemon,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97CBF8>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN NNS,8 large basil leaves,8 large basil leaves,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97C770>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN NN,1 tbsp cider vinegar,1 tbsp cider vinegar,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
<_sre.SRE_Match object at 0x000000000B97CBF8>,st,CD ,,CD ,None,None,None,"(?P<unit_1>(?P<qu_1>CD ?)+?(?P<m_1>NNS? ?)*?){1,1}(?P<item>(JJ ?)*? (VB(D|N|G|P)? ?)*?(NNS? ?)+?){1,1}",CD JJ NN,4 tbsp water,4 tbsp water,https://theflexitarian.co.uk/recipe-items/super-healthy-summer-salad-bowl-creamy-avocado-basil-dressing-vegan/,[{'itemprop': 'recipeIngredient'}],
